posted_date,applied,title,company,location,salary_preview,job_link,search_criteria,hash_id
03/08/24,No,Junior Full Stack Developer,SpanIdea Systems,"Santa Clara, CA 95050",N/A,https://www.indeed.com/rc/clk?jk=29b1066ddda979b5&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,6fc72b4f7adc35920beddbed053cb50fca5103889f7e745bf54cca4f98ba7b84
03/12/24,No,QA Automation Engineer,Preferred Travel Group,"Newport Beach, CA 92660",$35 - $45 an hour,https://www.indeed.com/rc/clk?jk=b1cb24bd20f099ee&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,83e9e745375d57e4d52d19d26de0830beb0a306f3ea97302ce2acba014ffd67a
03/06/24,No,Streaming Media QE Web Automation Engineer,Apple,"Cupertino, CA","$114,400 - $199,500 a year",https://www.indeed.com/rc/clk?jk=f46bd0b2038f56e0&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,e778a6330f63f0feefc31433aca06c9b3c58c99592874fff04d17b51313ac6f3
02/28/24,No,Software Engineer - Data Platform,Hadrian,"Los Angeles, CA",N/A,https://www.indeed.com/rc/clk?jk=be5ffcdad76dbb80&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,2ae11f55d41418e91c134076a905d23f57ca6d9b999d71779df1fccdf7944210
03/03/24,No,Software Engineer - MapKit Developer Platform - Apple Maps,Apple,"Cupertino, CA","$138,900 - $256,500 a year",https://www.indeed.com/rc/clk?jk=137efc69ab906583&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,84fc9181c0ed8f10a49f0fb7e3b6f642297e0e13b4dfcb1db63fe6a64bfde0be
03/06/24,No,Nuclear Software Developer Student Employee,Electric Power Research Institute,"Palo Alto, CA 94304",$27 - $34 an hour,https://www.indeed.com/rc/clk?jk=acca03b0e116a231&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,ac592263cc0b7198ef15546448183e666f973e0e93f20fb7130fbe7c9fce87e7
03/10/24,No,Large-Scale Developer Tools Engineer,Apple,"Cupertino, CA","$138,900 - $256,500 a year",https://www.indeed.com/rc/clk?jk=f49b405498d19c57&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,ab39d2ca209a50a104ea7c3ff8d95c5b5a37c4db520e47d0a5860d49fe3a2b28
03/06/24,No,"AT&T - B2B Sales Development Program - Summer 2024 - West, application via RippleMatch",RippleMatch Opportunities,"Sacramento, CA","$57,000 a year",https://www.indeed.com/rc/clk?jk=5689530ce11a09a9&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,8e0c2853b49011e53014df949b895fade06357c1a9a001586ae40d96d41a47be
03/05/24,No,Junior Business & Technology Analyst - Application Developer,Axos Bank,"San Diego, CA 92122 
(University City area)",N/A,https://www.indeed.com/rc/clk?jk=6ec08b133abfdf81&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,1fd7ca6efecb4d4c0c5716096c251b009db524d751c7d98c7cc4b636b0b1ea9f
02/29/24,No,$300k-$1mm Low Latency Software Engineer (C++/Java),Fionics,"San Francisco, CA 94103 
(South Of Market area)",N/A,https://www.indeed.com/rc/clk?jk=33bbb4997f093523&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,5ae6b476712a17c552123acd96b2f917598ed2b416b86b9cb7273adf9e76dda6
03/12/24,No,"Software Engineer I, AIX",Alphatec Spine,"Carlsbad, CA",N/A,https://www.indeed.com/rc/clk?jk=e2246d3f38c8d4c3&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,03f0ba2a99d72deb792fe97da3c0489581493aebebf96ddc6d58b667a8414498
03/09/24,No,Solutions/Software Analyst/Scientist/Engineer - Workflow,Fulgent Therapeutics Llc,"El Monte, CA 91731",N/A,https://www.indeed.com/rc/clk?jk=7b25e8242fa3023c&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,91edf5253d2fe7d509a3cc8099a62679144c1c771bf4d1b01a2af9f8fa95fffc
03/06/24,No,CoreOS Darwin Virtual Memory Engineer,Apple,"Cupertino, CA","$138,900 - $256,500 a year",https://www.indeed.com/rc/clk?jk=93d2d9a8600fbb70&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,0ee5d96bddf249540b91d6a6fbd603659fcf3f26f672544f712362c67516f002
03/08/24,No,Software QA Engineer,Maersk Logistics & Services,"Los Angeles, CA 90731 
(Terminal Island area)","$155,000 - $165,000 a year",https://www.indeed.com/rc/clk?jk=efc9eac92c242ec6&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,bef5d914b84315fbf31cc1ea42b6088fcfdd89a17c1bc005a61369221f821cdd
03/11/24,No,IT Technician / DevOps,PeakLogic,"San Diego, CA 92130 
(Carmel Valley area)",N/A,https://www.indeed.com/rc/clk?jk=ca32d3478eb6b87f&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,b0a4512c96c0687428ccbc769287d94da078ff38336424e9fe4b9aaa9c088ae9
02/29/24,No,Application Development Technician,Resonetics,"San Diego, CA 92121 
(Sorrento Valley area)",N/A,https://www.indeed.com/rc/clk?jk=20ae7a1111875967&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,cc27f344c85412b381b023f3e77ce4b45c3bd489ca24b9a3a3a04f2aeaf84b52
03/08/24,No,Software Engineer,Sigma Defense,"San Diego, CA",N/A,https://www.indeed.com/rc/clk?jk=b36fee2b39b7f48e&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,283d9e357c2f1af8846d5d40647a1c2bfffff2b0686feb3fb6d325e47a50fb3e
03/06/24,No,Swift Platform Experience Integration Engineer,Apple,"Cupertino, CA","$107,500 - $223,500 a year",https://www.indeed.com/rc/clk?jk=175482a6cf4a570c&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,d64deae28c968cef8d1cf4cb9655c155db1f2120524cdb23218e86be2e19cb2c
02/28/24,No,Full Stack Developer,Sensor Tower,"Hybrid remote in Culver City, CA",N/A,https://www.indeed.com/rc/clk?jk=a0eee0d6d65c5afe&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,38c5a58d6d14aee65bae64559c373456d2dd96967a3f9ab90c4b33d0a4909e92
03/08/24,No,API Review & Design Engineer,Apple,"San Diego, CA","$131,500 - $243,300 a year",https://www.indeed.com/rc/clk?jk=32adb78a64f7c249&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,a78ed6d6178b5ca837edc678934a80d703ba73ebd653b806e00f7cc3de103d66
03/06/24,No,"Verizon - Business Sales Acceleration Development Program 2024, application via RippleMatch",RippleMatch Opportunities,"Irvine, CA","$64,000 - $119,000 a year",https://www.indeed.com/rc/clk?jk=8b5f6f489f005759&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,46e7d67651d64007b7e09ce3960523d0ac896f0afca15859816a3f9cc4fe78a2
03/08/24,No,Application Development & Support Supervisor,CALIFORNIA STATE LOTTERY,"Hybrid remote in Sacramento, CA 95811","$8,016 - $10,741 a month",https://www.indeed.com/rc/clk?jk=cb523c793c17ea3c&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,52c61b07c7e3153c731c39e05514a8a1bf53f0bb2d58b04ace683fd9c6ebd4d0
03/06/24,No,MAGENTO DEVELOPER,Coalition Technologies,"Culver City, CA 90232",$15 - $35 an hour,https://www.indeed.com/rc/clk?jk=7c0a963f0f6bfd9a&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,91013f4fb5351343dbe8e151a14b675eebae594422e4d42fab9fdbd4c134a41c
03/07/24,No,Forms Developer/Programmer - Call Center,The Exchange,"Fresno, CA 93726 
(Hoover area)",$20 - $22 an hour,https://www.indeed.com/rc/clk?jk=4042098fff180338&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,6ee11596d713d28735aca4fae88d6ff018c18205cb8152501173a7eb2f913a93
03/12/24,No,Epic Bridges Analyst/ Interface Developer,HiPaaS Inc,"Hybrid remote in Oakland, CA 94612",$90 - $100 an hour,https://www.indeed.com/rc/clk?jk=352407bfec58ccaf&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,4b29b2d8c521b731b4fff1a3ba9f9ae95829054fbfda07cb34dfae407528a7ae
03/09/24,No,INDUSTRIAL PROGRAMMER/ SCADA,Joseph Gallo Cheese Company LP,"Atwater, CA 95301",$27 - $36 an hour,https://www.indeed.com/rc/clk?jk=78948a6dfd4dfdd6&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,3c60502f9ccec7134f3df212580707224c5071f203a9dac7a5e2f269148fd77b
03/07/24,No,HIM Specialty Coder III - Health Information - F/T Days,UC Irvine Health,"Orange, CA",$44.42 - $58.63 an hour,https://www.indeed.com/rc/clk?jk=1f38805aa667089a&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,285a0655299e1bf7cc60f0a2075e92a249adffa63d98aaa3de736e38c3789247
03/07/24,No,Web Developer/SEO Specialist,Leaktronics,"Agoura Hills, CA 91301 
(Historic Quarter area)",N/A,https://www.indeed.com/rc/clk?jk=9f7e563008ea2678&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,b97112950ac1840163471b8315634ccc42e3d7c8606f1c47591ef13b59cf8f5c
02/28/24,No,"Research Scientist, Sensors and Systems Research (PhD)",Meta,"Burlingame, CA 94010","$117,000 - $173,000 a year",https://www.indeed.com/rc/clk?jk=d8fd97e8fb2a09a3&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,41440b91057ddd739521b423c3933e65b6638c2a45dc6226ba3988b2fed2ae47
03/11/24,No,Web Developer,"ADM Flooring, Inc.","Los Angeles, CA 90058",N/A,https://www.indeed.com/rc/clk?jk=b8bfc9377d448fb8&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,c49866434621842a14e8aed41d2d7f1d8b35699ccbe8067c7fcb667590b61efc
02/27/24,No,Windows Native Developer (Security and Authentication Focus),Oracle,"Santa Clara, CA 95054",N/A,https://www.indeed.com/rc/clk?jk=806f3b48d427a05a&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,de67a922a2ea4fa4371cf67324c8da1990c143df9ecfceb9bac9cebf88f6e8e7
03/05/24,No,SwiftUI Frameworks Widget Engineer,Apple,"Cupertino, CA","$132,300 - $241,500 a year",https://www.indeed.com/rc/clk?jk=26dfe70f0f404fd9&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,b9e074eb4dbd5ced45af14e69a33311085d4e8301b79a2caeca1922dbef14def
03/09/24,No,"Lancaster, Ca, Net Meter Surveyor",Net Meter Survey,"Lancaster, CA",N/A,https://www.indeed.com/rc/clk?jk=cff436510c1aa412&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,14badf4bd04e623d7d425b0ea30cff13fdafab2afc75c77edbbc940bf5be325d
03/05/24,No,IP System Validation Software Engineer,INTEL,"Folsom, CA","$91,500 - $137,436 a year",https://www.indeed.com/rc/clk?jk=b370da53543f0165&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,71bf0d9b3d4ff56f151f275ba3a1325648d90e31ce2295bab5b9e7c19d1ad035
02/29/24,No,Quantum Integrated Circuit (IC) Designer,Rigetti Computing,"Hybrid remote in Fremont, CA","$125,000 - $165,000 a year",https://www.indeed.com/rc/clk?jk=64dc1ceb4e0348a1&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,0ad707ac345bd10055ab2f898d9be5d723f69e0cb536750eddb23d581fdb6ced
03/01/24,No,Database Analyst/Programmer- Associate,Spathe Systems,"San Diego, CA 92155",N/A,https://www.indeed.com/rc/clk?jk=95d8eab5fd417278&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,c6f1554ed97b36e86d017d796d4dfb80ca323d54a54903124222156627ddf5d3
03/09/24,No,"Poway, Ca, Net Meter Surveyor",Net Meter Survey,"Poway, CA",N/A,https://www.indeed.com/rc/clk?jk=a236dd8c2f534c66&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,ca612f290388fac7c0f0883f02a33f6ff9fa6303ab67de7235f1bdce2b3f3900
03/11/24,No,"Founding Software Engineer, Seed Stage",Recruiting From Scratch,California,"$120,000 - $180,000 a year",https://www.indeed.com/rc/clk?jk=adc35429148c3645&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,ce4af2aacc8856f9844566c8289f9ac61c30b079b07e41f5382bcfc370c2932d
03/05/24,No,C++ Engineer for Elite HFT firm ($100k-$300k),Fionics,"San Francisco, CA 94103 
(South Of Market area)",N/A,https://www.indeed.com/rc/clk?jk=aa69f7456e5ee590&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,62f4f60515d5a8b7ad7f7af1e3601af3ae53bc76bf6a6b7b136ffd1fc635f039
03/06/24,No,LARAVEL DEVELOPER,Coalition Technologies,"Culver City, CA 90232",$15 - $35 an hour,https://www.indeed.com/rc/clk?jk=bcdf280dd3b9a4fb&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,106036a52b237a17fda4a3817162de7a0ce7cfc773ba3957b7425eda66a848ca
03/06/24,No,Licensed Mental Health Therapist (IOP/PHP),Foresight Mental Health,"Remote in Berkeley, CA","$100,000 a year",https://www.indeed.com/rc/clk?jk=7dd79c904214bb25&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,e0fdb8d9e5f3aaeb2caad17c3b8835c36ed5975d74e686a36e3416f96f28d7bb
